Biogen;BIIB;Estados Unidos
BlackRock;BLK;Estados Unidos
Blackstone Inc.;BX;Estados Unidos
BNY Mellon;BK;Estados Unidos
Booking Holdings;BKNG;Estados Unidos
BorgWarner;BWA;Estados Unidos
Boston Scientific;BSX;Estados Unidos
Broadcom;AVGO;Estados Unidos
Broadridge Financial Solutions;BR;Estados Unidos
Brown & Brown;BRO;Estados Unidos
Brown–Forman;BF.B;Estados Unidos
Builders FirstSource;BLDR;Estados Unidos
Bunge Global;BG;Estados Unidos
BXP, Inc.;BXP;Estados Unidos
C.H. Robinson;CHRW;Estados Unidos
Cadence Design Systems;CDNS;Estados Unidos
Caesars Entertainment;CZR;Estados Unidos
Camden Property Trust;CPT;Estados Unidos
Campbell Soup Company;CPB;Estados Unidos
Capital One;COF;Estados Unidos
Cardinal Health;CAH;Estados Unidos
CarMax;KMX;Estados Unidos
Carnival;CCL;Estados Unidos
Carrier Global;CARR;Estados Unidos
Caterpillar Inc.;CAT;Estados Unidos
Cboe Global Markets;CBOE;Estados Unidos
CBRE Group;CBRE;Estados Unidos
CDW;CDW;Estados Unidos
Celanese;CE;Estados Unidos
Cencora;COR;Estados Unidos
Centene Corporation;CNC;Estados Unidos
CenterPoint Energy;CNP;Estados Unidos
CF Industries;CF;Estados Unidos
Charles River Laboratories;CRL;Estados Unidos
Charles Schwab Corporation;SCHW;Estados Unidos
Charter Communications;CHTR;Estados Unidos
Chipotle Mexican Grill;CMG;Estados Unidos
Chubb Limited;CB;Estados Unidos
Church & Dwight;CHD;Estados Unidos
Cigna;CI;Estados Unidos
Cincinnati Financial;CINF;Estados Unidos
Cintas;CTAS;Estados Unidos
Citizens Financial Group;CFG;Estados Unidos
Clorox;CLX;Estados Unidos
CME Group;CME;Estados Unidos
CMS Energy;CMS;Estados Unidos
Cognizant;CTSH;Estados Unidos
Colgate-Palmolive;CL;Estados Unidos
Conagra Brands;CAG;Estados Unidos
ConocoPhillips;COP;Estados Unidos
Consolidated Edison;ED;Estados Unidos
Constellation Brands;STZ;Estados Unidos
Constellation Energy;CEG;Estados Unidos
Cooper Companies (The);COO;Estados Unidos
Copart;CPRT;Estados Unidos
Corning Inc.;GLW;Estados Unidos
Corpay;CPAY;Estados Unidos
Corteva;CTVA;Estados Unidos
CoStar Group;CSGP;Estados Unidos
Costco;COST;Estados Unidos
Coterra;CTRA;Estados Unidos
CrowdStrike;CRWD;Estados Unidos
Crown Castle;CCI;Estados Unidos
CSX Corporation;CSX;Estados Unidos
Cummins;CMI;Estados Unidos
CVS Health;CVS;Estados Unidos
Darden Restaurants;DRI;Estados Unidos
DaVita;DVA;Estados Unidos
Dayforce;DAY;Estados Unidos
Deckers Brands;DECK;Estados Unidos
Deere & Company;DE;Estados Unidos
Dell Technologies;DELL;Estados Unidos
Delta Air Lines;DAL;Estados Unidos
Devon Energy;DVN;Estados Unidos
Dexcom;DXCM;Estados Unidos
Diamondback Energy;FANG;Estados Unidos
Digital Realty;DLR;Estados Unidos
Discover Financial;DFS;Estados Unidos
Dollar General;DG;Estados Unidos
Dollar Tree;DLTR;Estados Unidos
Dominion Energy;D;Estados Unidos
Domino's;DPZ;Estados Unidos
Dover Corporation;DOV;Estados Unidos
Dow Inc.;DOW;Estados Unidos
D. R. Horton;DHI;Estados Unidos
DTE Energy;DTE;Estados Unidos
Duke Energy;DUK;Estados Unidos
DuPont;DD;Estados Unidos
Eastman Chemical Company;EMN;Estados Unidos
Eaton Corporation;ETN;Estados Unidos
eBay;EBAY;Estados Unidos
Ecolab;ECL;Estados Unidos
Edison International;EIX;Estados Unidos
Edwards Lifesciences;EW;Estados Unidos
Electronic Arts;EA;Estados Unidos
Elevance Health;ELV;Estados Unidos
Emerson Electric;EMR;Estados Unidos
Enphase Energy;ENPH;Estados Unidos
Entergy;ETR;Estados Unidos
EOG Resources;EOG;Estados Unidos
EPAM Systems;EPAM;Estados Unidos
EQT Corporation;EQT;Estados Unidos
Equifax;EFX;Estados Unidos
Equinix;EQIX;Estados Unidos
Equity Residential;EQR;Estados Unidos
Erie Indemnity;ERIE;Estados Unidos
Essex Property Trust;ESS;Estados Unidos
Estée Lauder Companies (The);EL;Estados Unidos
Everest Group;EG;Estados Unidos
Evergy;EVRG;Estados Unidos
Eversource Energy;ES;Estados Unidos
Exelon;EXC;Estados Unidos
Expedia Group;EXPE;Estados Unidos
Expeditors International;EXPD;Estados Unidos
Extra Space Storage;EXR;Estados Unidos
F5, Inc.;FFIV;Estados Unidos
FactSet;FDS;Estados Unidos
Fair Isaac;FICO;Estados Unidos
Fastenal;FAST;Estados Unidos
Federal Realty Investment Trust;FRT;Estados Unidos
FedEx;FDX;Estados Unidos
Fidelity National Information Services;FIS;Estados Unidos
Fifth Third Bancorp;FITB;Estados Unidos
First Solar;FSLR;Estados Unidos
FirstEnergy;FE;Estados Unidos
Fiserv;FI;Estados Unidos
FMC Corporation;FMC;Estados Unidos
